,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Housewares Division'}),frozenset({'Health Products Division'}),0.39355742296918766,1.0,0.39355742296918766,1.0,1.0,0.0,inf
1,frozenset({'Automotive Division'}),frozenset({'Housewares Division'}),0.13485394157663066,0.39355742296918766,0.06762705082032813,0.5014836795252225,1.2742325522455833,0.014554281096191973,1.2164949313058557
2,frozenset({'Personal Electronics Division'}),frozenset({'Housewares Division'}),0.4673869547819128,0.39355742296918766,0.23549419767907162,0.5038527397260274,1.2802521571686247,0.05155059222568578,1.222303589252785
3,frozenset({'Housewares Division'}),frozenset({'Personal Electronics Division'}),0.39355742296918766,0.4673869547819128,0.23549419767907162,0.5983731570920183,1.2802521571686247,0.05155059222568578,1.326139063220225
4,frozenset({'Novelty Gift Division'}),frozenset({'Housewares Division'}),0.22749099639855944,0.39355742296918766,0.13485394157663066,0.592788038698329,1.5062301054469995,0.04532317128532086,1.4892553133564443
5,frozenset({'Jewelry Division'}),frozenset({'Housewares Division'}),0.3569427771108443,0.39355742296918766,0.1948779511804722,0.5459641255605381,1.3872540414598726,0.054400471673263145,1.3356710585468756
6,frozenset({'Automotive Division'}),frozenset({'Health Products Division'}),0.13485394157663066,1.0,0.13485394157663066,1.0,1.0,0.0,inf
7,frozenset({'Personal Electronics Division'}),frozenset({'Health Products Division'}),0.4673869547819128,1.0,0.4673869547819128,1.0,1.0,0.0,inf
8,frozenset({'Computers Division'}),frozenset({'Health Products Division'}),0.0468187274909964,1.0,0.0468187274909964,1.0,1.0,0.0,inf
9,frozenset({'Garden Division'}),frozenset({'Health Products Division'}),0.272108843537415,1.0,0.272108843537415,1.0,1.0,0.0,inf
10,frozenset({'Novelty Gift Division'}),frozenset({'Health Products Division'}),0.22749099639855944,1.0,0.22749099639855944,1.0,1.0,0.0,inf
11,frozenset({'Jewelry Division'}),frozenset({'Health Products Division'}),0.3569427771108443,1.0,0.3569427771108443,1.0,1.0,0.0,inf
12,frozenset({'Automotive Division'}),frozenset({'Personal Electronics Division'}),0.13485394157663066,0.4673869547819128,0.08303321328531413,0.615727002967359,1.3173816613145806,0.020004240191474745,1.3860277701814319
13,frozenset({'Automotive Division'}),frozenset({'Garden Division'}),0.13485394157663066,0.272108843537415,0.08543417366946779,0.6335311572700296,2.328227002967359,0.04873922358058869,1.9862293095375798
14,frozenset({'Automotive Division'}),frozenset({'Jewelry Division'}),0.13485394157663066,0.3569427771108443,0.07523009203681473,0.5578635014836795,1.5628933746723264,0.02709495162610863,1.4544314370043319
15,frozenset({'Garden Division'}),frozenset({'Personal Electronics Division'}),0.272108843537415,0.4673869547819128,0.16326530612244897,0.5999999999999999,1.2837328767123284,0.0360851823722686,1.3315326130452179
16,frozenset({'Novelty Gift Division'}),frozenset({'Personal Electronics Division'}),0.22749099639855944,0.4673869547819128,0.16906762705082032,0.743183817062445,1.5900824990060358,0.06274130300379453,2.0739076452498804
17,frozenset({'Jewelry Division'}),frozenset({'Personal Electronics Division'}),0.3569427771108443,0.4673869547819128,0.19747899159663865,0.5532511210762332,1.1837110886725228,0.03064859397140207,1.1921978327089935
18,"frozenset({'Health Products Division', 'Automotive Division'})",frozenset({'Housewares Division'}),0.13485394157663066,0.39355742296918766,0.06762705082032813,0.5014836795252225,1.2742325522455833,0.014554281096191973,1.2164949313058557
19,"frozenset({'Automotive Division', 'Housewares Division'})",frozenset({'Health Products Division'}),0.06762705082032813,1.0,0.06762705082032813,1.0,1.0,0.0,inf
21,"frozenset({'Health Products Division', 'Personal Electronics Division'})",frozenset({'Housewares Division'}),0.4673869547819128,0.39355742296918766,0.23549419767907162,0.5038527397260274,1.2802521571686247,0.05155059222568578,1.222303589252785
22,"frozenset({'Health Products Division', 'Housewares Division'})",frozenset({'Personal Electronics Division'}),0.39355742296918766,0.4673869547819128,0.23549419767907162,0.5983731570920183,1.2802521571686247,0.05155059222568578,1.326139063220225
23,"frozenset({'Personal Electronics Division', 'Housewares Division'})",frozenset({'Health Products Division'}),0.23549419767907162,1.0,0.23549419767907162,1.0,1.0,0.0,inf
26,"frozenset({'Garden Division', 'Housewares Division'})",frozenset({'Health Products Division'}),0.1328531412565026,1.0,0.1328531412565026,1.0,1.0,0.0,inf
27,"frozenset({'Health Products Division', 'Novelty Gift Division'})",frozenset({'Housewares Division'}),0.22749099639855944,0.39355742296918766,0.13485394157663066,0.592788038698329,1.5062301054469995,0.04532317128532086,1.4892553133564443
28,"frozenset({'Novelty Gift Division', 'Housewares Division'})",frozenset({'Health Products Division'}),0.13485394157663066,1.0,0.13485394157663066,1.0,1.0,0.0,inf
30,"frozenset({'Jewelry Division', 'Health Products Division'})",frozenset({'Housewares Division'}),0.3569427771108443,0.39355742296918766,0.1948779511804722,0.5459641255605381,1.3872540414598726,0.054400471673263145,1.3356710585468756
31,"frozenset({'Jewelry Division', 'Housewares Division'})",frozenset({'Health Products Division'}),0.1948779511804722,1.0,0.1948779511804722,1.0,1.0,0.0,inf
33,"frozenset({'Automotive Division', 'Personal Electronics Division'})",frozenset({'Housewares Division'}),0.08303321328531413,0.39355742296918766,0.05042016806722689,0.6072289156626506,1.5429232946018951,0.017741830625807746,1.5440102421336634
34,"frozenset({'Automotive Division', 'Housewares Division'})",frozenset({'Personal Electronics Division'}),0.06762705082032813,0.4673869547819128,0.05042016806722689,0.7455621301775148,1.5951710302342548,0.01881216672343207,2.093293131205971
35,"frozenset({'Automotive Division', 'Garden Division'})",frozenset({'Housewares Division'}),0.08543417366946779,0.39355742296918766,0.04541816726690676,0.531615925058548,1.3507963362697626,0.01179491404404899,1.2947549019607845
36,"frozenset({'Automotive Division', 'Housewares Division'})",frozenset({'Garden Division'}),0.06762705082032813,0.272108843537415,0.04541816726690676,0.6715976331360947,2.4681213017751475,0.02701624867634128,2.216461359318502
37,"frozenset({'Jewelry Division', 'Automotive Division'})",frozenset({'Housewares Division'}),0.07523009203681473,0.39355742296918766,0.04581832733093237,0.6090425531914893,1.5475316120239264,0.016210966179188758,1.5511728500924176
38,"frozenset({'Automotive Division', 'Housewares Division'})",frozenset({'Jewelry Division'}),0.06762705082032813,0.3569427771108443,0.04581832733093237,0.6775147928994082,1.898104784143073,0.021679340003308244,1.994067351711326
39,"frozenset({'Garden Division', 'Personal Electronics Division'})",frozenset({'Housewares Division'}),0.16326530612244897,0.39355742296918766,0.09843937575030012,0.6029411764705883,1.53202846975089,0.03418510261247357,1.5273368606701945
40,"frozenset({'Garden Division', 'Housewares Division'})",frozenset({'Personal Electronics Division'}),0.1328531412565026,0.4673869547819128,0.09843937575030012,0.7409638554216867,1.5853327694339,0.03634555062521207,2.0561340815395925
41,"frozenset({'Novelty Gift Division', 'Personal Electronics Division'})",frozenset({'Housewares Division'}),0.16906762705082032,0.39355742296918766,0.10784313725490197,0.6378698224852072,1.6207795489481778,0.041305317645265405,1.6746535215393352
42,"frozenset({'Novelty Gift Division', 'Housewares Division'})",frozenset({'Personal Electronics Division'}),0.13485394157663066,0.4673869547819128,0.10784313725490197,0.7997032640949554,1.7110089528880938,0.044814164161062583,2.6591199442740048
43,"frozenset({'Jewelry Division', 'Personal Electronics Division'})",frozenset({'Housewares Division'}),0.19747899159663865,0.39355742296918766,0.13205282112845138,0.668693009118541,1.6990989626713107,0.0543334981051244,1.8304551178269475
44,"frozenset({'Jewelry Division', 'Housewares Division'})",frozenset({'Personal Electronics Division'}),0.1948779511804722,0.4673869547819128,0.13205282112845138,0.677618069815195,1.4498009901268598,0.04096940897207221,1.652118172109608
45,"frozenset({'Personal Electronics Division', 'Housewares Division'})",frozenset({'Jewelry Division'}),0.23549419767907162,0.3569427771108443,0.13205282112845138,0.5607476635514018,1.5709735551737143,0.04799486821539341,1.4639813372157373
46,"frozenset({'Novelty Gift Division', 'Garden Division'})",frozenset({'Housewares Division'}),0.11224489795918367,0.39355742296918766,0.06882753101240496,0.6131907308377896,1.558071821417017,0.024652718230149202,1.5678077682685978
47,"frozenset({'Novelty Gift Division', 'Housewares Division'})",frozenset({'Garden Division'}),0.13485394157663066,0.272108843537415,0.06882753101240496,0.5103857566765578,1.8756676557863499,0.03213258092352587,1.4866625438054006
